problem,uuid,problem_type,question_type,source,answer
"Let $\triangle ABC$ have sides $a$, $b$, $c$ opposite to the internal angles $A$, $B$, $C$ respectively. Given that $\sin C\sin \left(A-B\right)=\sin B\sin \left(C-A\right)$. Prove the following:
$(1)$ Show that $2a^{2}=b^{2}+c^{2}$;
$(2)$ If $a=5$ and $\cos A=\frac{{25}}{{31}}$, find the perimeter of $\triangle ABC$.",a8bf27b4-d26d-5f5d-b267-e900ea731b41,Geometry,proof,cn_k12,14
"In an isosceles trapezoid, the bases are 3 times and 2 times the height, respectively. The trapezoid is divided into a parallelogram and an isosceles triangle by a line parallel to one of the legs. Then, we draw the diagonals of the trapezoid and the parallelogram. Show that the area of the trapezoid is 25 times the area of the triangle formed by the three diagonals.",7e5b1b9f-c358-5c22-ae93-500769fcdd70,Geometry,proof,olympiads,25
"Problem 2. Inside a square consider circles such that the sum of their circumferences is twice the perimeter of the square.

a) Find the minimum number of circles having this property.

b) Prove that there exist infinitely many lines which intersect at least 3 of these circles.",28097477-18d9-53c6-a2bf-41d686dcebe3,Geometry,proof,olympiads,3
"5.5*. Let $A_{1}, B_{1}$, and $C_{1}$ be the projections of some interior point $O$ of triangle $ABC$ onto the altitudes. Prove that if the lengths of segments $A A_{1}, B B_{1}$, and $C C_{1}$ are equal, then they are equal to $2r$.

5.6 ${ }^{*}$. An angle of measure $\alpha=\angle B A C$ rotates around its vertex $O-$ the midpoint of the base $A C$ of isosceles triangle $A B C$. The sides of this angle intersect segments $A B$ and $B C$ at points $P$ and $Q$. Prove that the perimeter of triangle $P B Q$ remains constant.",be2a9a86-150b-5dfd-8ed1-4b890f457ee8,Geometry,proof,olympiads,2r
171. A line symmetric to the median of a triangle with respect to the bisector of the same angle is called a symmedian. Let the symmedian from vertex $B$ of triangle $A B C$ intersect $A C$ at point $K$. Prove that $|A K|:|K C| = |A B|^{2}:|B C|^{2}$.,8db2d73b-c839-550d-843b-13f346479eee,Geometry,proof,olympiads,\frac{|AK|}{|KC|}=\frac{|AB|^{2}}{|BC|^{2}}
"12th Putnam 1952 Problem B4 The solid S consists of a circular cylinder radius r, height h, with a hemispherical cap at one end. S is placed with the center of the cap on the table and the axis of the cylinder vertical. For some k, equilibrium is stable if r/h > k, unstable if r/h < k and neutral if r/h = k. Find k and show that if r/h = k, then the body is in equilibrium if any point of the cap is in contact with the table.",1ec40fd9-4aa0-58ac-9b66-40f845ab8399,Geometry,proof,olympiads,\sqrt{2}
"2. Given that $\triangle A B C$ is inscribed in a circle, $A B<A C<B C, D$ is the midpoint of the minor arc $\overparen{A B}$, and $A D$ intersects $B C$ at point $E$. Let the circumcircle of $\triangle B D E$ intersect $A B$ at the second point $F$, and the circumcircle of $\triangle A D F$ intersect $A C$ at the second point $H$. Prove: $B E=A H$.",aba10147-6fd1-504d-9a84-bbebc1a2dc5c,Geometry,proof,olympiads,BE=AH
"8. C2 (GEO) Let $D_{1}, \ldots, D_{n}$ be closed disks in the plane. (A closed disk is a region bounded by a circle, taken jointly with this circle.) Suppose that every point in the plane is contained in at most 2003 disks $D_{\text {. }}$. Prove that there exists disk $D_{k}$ that intersects at most $7 \cdot 2003-1$ other disks $D_{i}$.",37772f09-7ca3-5889-b854-877edcf1a203,Geometry,proof,olympiads,7\cdot2003-1
"A tetrahedron of volume $V$ has planes parallel to its faces drawn through an internal point. The volumes of the 4 smaller tetrahedrons formed are $V_{1}, V_{2}, V_{3}, V_{4}$.

Show that

$$
\sqrt[3]{V}=\sqrt[3]{V_{1}}+\sqrt[3]{V_{2}}+\sqrt[3]{V_{3}}+\sqrt[3]{V_{4}}
$$",df9eeb1d-8c72-55db-8aa4-dc6061bfd0cc,Geometry,proof,olympiads,\sqrt[3]{V_{1}}+\sqrt[3]{V_{2}}+\sqrt[3]{V_{3}}+\sqrt[3]{V_{4}}=\sqrt[3]{V}
"For example, $\triangle ABC$ is inscribed in a circle with radius $R$ and center $O$. If $O$ and $A$ are on the same side of line $BC$, let $d_{BC}$ be the distance from $O$ to $BC$; otherwise, $d_{BC}$ is the negative of the distance from $O$ to $BC$. The same applies to the others. If the inradius of $\triangle ABC$ is $r$, then $d_{BC} + d_{AC} + d_{AB} = R + r$.",3fee8c89-73d8-5962-8fcb-5d50af7231da,Geometry,proof,olympiads,d_{BC}+d_{AC}+d_{AB}=R+r
"Let $A_{1}, A_{2}, A_{3}, A_{4}, A_{5}$ be points that divide the circumference of a unit circle into five equal parts; prove that the following equality holds between the chords $A_{1} A_{2}$ and $A_{1} A_{3}$:

$$
\left(A_{1} A_{2} \cdot A_{1} A_{3}\right)^{2}=5
$$",41c960b5-f894-50f7-9996-c98d06d83e81,Geometry,proof,olympiads,5
"Given a parallelogram $A B C D$, in which $\angle B A C=40^{\circ}$ and $\angle B C A=20^{\circ}$. On the diagonal $A C$ are marked points $E$ and $G$, and on the side $A D$ are points $F$ and $H$ such that points $B, E$ and $F$ lie on the same line, $\angle A B G=\angle A H G=90^{\circ}$ and $A F=E G$. Prove that $A F=H D$.",5ad3fa49-0f9f-5ea1-a6a2-68562370b585,Geometry,proof,olympiads,AF=HD
"Let $ABC$ be a triangle with orthocenter $H$, and let $G$ be the point such that the quadrilateral $ABGH$ is a parallelogram. Let $I$ be the point on the line $(GH)$ such that the line $(AC)$ intersects the segment $[HI]$ at its midpoint. The line $(AC)$ intersects the circumcircle of triangle $GCI$ again at point $J$. Show that $IJ = AH$.",0f9eaeaf-a0be-54e1-88c7-76424d438a0a,Geometry,proof,olympiads,IJ=AH
"## Task 1 - 201241

In any triangle $ABC$, let $D, E, F$ be the intersection points of the angle bisectors of the triangle with the sides of the triangle.

Prove:

If $I$ is the area of triangle $ABC$ and $I_{1}$ is the area of triangle $DEF$, then $I_{1} \leq \frac{I}{4}$.",4a2c5cd5-61bb-50a7-ab67-6b4f7dcd8b87,Geometry,proof,olympiads,I_{1}\leq\frac{I}{4}
"2.1. Let $M$ and $N$ be two points on the side $B C$ of a triangle $A B C$ such that $B M=$ $M N=N C$. A line parallel to $A C$ meets the segments $A B, A M$ and $A N$ at the points $D, E$ and $F$ respectively. Prove that $E F=3 D E$.",77dcb8ce-2d39-588f-8cfe-306ab448c980,Geometry,proof,olympiads,EF=3DE
"The circles $O_{1}$ and $O_{2}$ touch internally at point $A$; one has a diameter $A B$, the other has a diameter $A C$. Show that the point of external similarity of the circles corresponding to the diameters $O_{1} O_{2}$ and $B C$ is $A$.

Let's proceed step by step to prove this.

1. **Identify the given information:**
   - Circles $O_{1}$ and $O_{2}$ touch internally at point $A$.
   - Circle $O_{1}$ has diameter $AB$.
   - Circle $O_{2}$ has diameter $AC$.

2. **Understand the concept of external similarity:**
   - The point of external similarity of two circles is the point where the external tangents to the circles intersect.
   - For circles with diameters $O_{1}O_{2}$ and $BC$, we need to show that this point is $A$.

3. **Analyze the geometry:**
   - Since $A$ is the point of internal tangency, the line segment $O_{1}O_{2}$ passes through $A$.
   - The diameters $AB$ and $AC$ are such that $A$ is a common point on both circles.

4. **Consider the homothety:**
   - The homothety centered at $A$ that maps circle $O_{1}$ to circle $O_{2}$ will map point $B$ to point $C$.
   - This homothety also maps the line segment $O_{1}O_{2}$ to itself, as $A$ is the center of homothety.

5. **Determine the external similarity point:**
   - The external similarity point of the circles with diameters $O_{1}O_{2}$ and $BC$ is the point where the external tangents to these circles intersect.
   - Since $A$ is the point of internal tangency and the homothety maps $B$ to $C$, the external tangents at $B$ and $C$ will intersect at $A$.

6. **Conclusion:**
   - Therefore, the point of external similarity of the circles corresponding to the diameters $O_{1}O_{2}$ and $BC$ is indeed $A$.

Thus, we have shown that the point of external similarity of the circles corresponding to the diameters $O_{1}O_{2}$ and $BC$ is $A$. 

\[
\boxed{A}
\]",1b38e822-8288-515f-85a0-a954af9b93a2,Geometry,proof,olympiads,A
"[ Triangles with angles $\$ 60$ ^ $circ $\$$ and $\$ 120 \wedge$ ^circ $\$

In triangle $A B C$ with angle $A$ equal to $120^{\circ}$, the angle bisectors $A A_{1}, B B_{1}$ and $C C_{1}$ intersect at point $O$. Prove that $\angle A_{1} C_{1} O=30^{\circ}$.

#",2815eafd-2065-504d-bb58-d83f238e32e6,Geometry,proof,olympiads,30
"Let $ABC$ be a triangle, $H$ its orthocenter, and $\Gamma$ its circumcircle.

Show that $\mathcal{P}_{\Gamma}(H)=8 R^{2} \cos (\alpha) \cos (\beta) \cos (\gamma)$, where $R$ is the radius of the circumcircle and $\alpha, \beta, \gamma$ are the angles of the triangle.",a68f2047-94d8-53bc-a48d-89542910985b,Geometry,proof,olympiads,8R^{2}\cos(\alpha)\cos(\beta)\cos(\gamma)
24th ASU 1990 Problem 2 The line joining the midpoints of two opposite sides of a convex quadrilateral makes equal angles with the diagonals. Show that the diagonals are equal.,3a02749b-e435-5644-9c13-088c1559ddd7,Geometry,proof,olympiads,BD=AC
"9.19. (PRL, 81). The bisectors of the internal and external angles $C$ of triangle $ABC$ intersect the line $AB$ at points $L$ and $M$ respectively. Prove that if $CL = CM$, then

$$
AC^2 + BC^2 = 4R^2
$$

where $R$ is the radius of the circumscribed circle.",1e064b08-decd-59c2-9cdf-4d00e04890d0,Geometry,proof,olympiads,AC^2+BC^2=4R^2
"2. In triangle $ABC$, angle $C$ is three times larger than angle $A$, and side $AB$ is twice as long as side $BC$. Prove that angle $ABC$ is 60 degrees.",09601ea3-b39b-5bc3-b58e-d97facbf790c,Geometry,proof,olympiads,60
"Example 19 (2002 National College Entrance Examination Question) In the tetrahedron $S-ABC$, $\angle SAB = \angle SAC = \angle ACB = 90^{\circ}, AC = 2, BC = \sqrt{13}, SB = \sqrt{29}$.
( I ) Prove: $SC \perp BC$; ( II ) Find the cosine value of the angle $\alpha$ formed by the skew lines $SC$ and $AB$.

",2cbe5b52-8aad-5f87-99f5-8da5d920c970,Geometry,proof,olympiads,\frac{\sqrt{17}}{17}
"## SUBJECT IV

Let the rhombus $A B C D$, with $A B=a$ and $m(\angle A)=60^{\circ}$. From the same side of the plane $(A B C)$, perpendiculars $A F$ and $C E$ are raised such that $A F=C E=c$. Let $\alpha=m(\angle(A C ; B E))$ and $\beta=m(\angle((B F E) ;(A B C)))$.

a) Calculate $\cos \alpha$ and $\cos \beta$.

b) Show that, for any $c>0$, we have $\operatorname{tg} \alpha \cdot \cos \beta=\frac{1}{\sqrt{3}}$.

(Mathematician Râmbu Gheorghe)

Working time 3 hours. An additional 30 minutes is given for questions.

Each problem is worth 7 points.

Subjects selected and processed by:

prof. Bunu Iulian - Lic. Art Baia Mare, prof. Pop Radu - Lic. T. Sanitar Baia Mare, mathematician Râmbu Gheorghe

## GRADING SCALE - GRADE 8",08984a1c-fb54-5b6c-9ed6-0c5b309826cb,Geometry,proof,olympiads,\frac{1}{\sqrt{3}}
"[ Sum of angles in a triangle. Theorem about the exterior angle.]

$[\quad$ Auxiliary equal triangles Angles between bisectors

![](https://cdn.mathpix.com/cropped/2024_05_06_95d66af6ee6f6b4b6717g-44.jpg?height=35&width=215&top_left_y=1869&top_left_x=17)

The bisectors of triangle $ABC$ intersect at point $I, \angle ABC=120^{\circ}$. Points $P$ and $Q$ are marked on the extensions of sides $AB$ and $CB$ beyond point $B$ such that $AP = CQ = AC$. Prove that angle $PIQ$ is a right angle.",7c446e99-b70e-585f-a9e1-da8e5cfdb5b4,Geometry,proof,olympiads,90
"The circles $k_{1}, k_{2}, k_{3}$ are placed externally to each other, their radii are $r_{1}, r_{2}, r_{3}$ respectively, and it holds that $r_{1}>r_{2}, r_{1}>r_{3}$. We draw the tangents to $k_{i}$ $(i=2,3)$ from the intersection point of the common external tangents of $k_{1}$ and $k_{j}(j=3,2)$. Prove that there is a circle that touches all 4 of these tangents. What is the radius of this circle?",066636f9-884c-5635-b830-c090150ab225,Geometry,proof,olympiads,\frac{r_{1}r_{2}r_{3}}{r_{1}(r_{2}+r_{3})-r_{2}r_{3}}
"Exercise 2. Let $A B C$ be an acute triangle such that $A C > A B$, and $D$ on $(B C)$ such that $A D = A B$ and $D$ is different from $B$. Let $\Gamma$ be the circumcircle of $A B C$, $\Delta$ the tangent to $\Gamma$ at $C$, and $E$ the intersection of $(A D)$ and $\Delta$.

Show that $C D^{2} = A D \cdot D E - B D \cdot D C$.",6d49aab0-b28e-56c5-9eb3-407875a93073,Geometry,proof,olympiads,CD^{2}=AD\cdotDE-BD\cdotDC
"[Inscribed, circumscribed, and exscribed circles; their radii]

Prove that $\frac{1}{\tau^{3}}-\frac{1}{\tau_{a}^{3}}-\frac{1}{\tau_{b}^{3}}-\frac{1}{\tau_{c}^{3}}=\frac{12 R}{S^{2}}$.",9929c4e0-a506-5766-9eba-4e1df0a79c32,Geometry,proof,olympiads,\frac{12R}{S^{2}}
"$O$ triangle $A B C$ with orthocenter $H$ is such that $A B=48$ and $\mathrm{HC}=14$. The midpoint of side $A B$ is $M$ and the midpoint of segment $HC$ is $N$.

(a) Show that the angle $MÊN$ is a right angle.

(b) Determine the length of the segment $\mathrm{MN}$.

![](https://cdn.mathpix.com/cropped/2024_05_01_fcff7d0cdc4488e80dd9g-6.jpg?height=448&width=508&top_left_y=644&top_left_x=791)

Figure 108.2",9202a51e-e31b-5509-bb41-c633675a7252,Geometry,proof,olympiads,25
"10. (15 points) $A, B$ are two moving points on the hyperbola $\frac{x^{2}}{4}-\frac{y^{2}}{9}=1$, satisfying $\overrightarrow{O A} \cdot \overrightarrow{O B}=0$.
(1) Prove that $\frac{1}{|\overrightarrow{O A}|^{2}}+\frac{1}{|\overrightarrow{O B}|^{2}}$ is a constant;
(2) A moving point $P$ is on the line segment $AB$, satisfying $\overrightarrow{O P} \cdot \overrightarrow{A B}=0$, prove that point $P$ lies on a fixed circle.",da401b07-b595-5228-83fd-99b23c5c0656,Geometry,proof,olympiads,\frac{36}{5}
"3. Let $ABC$ be an equilateral triangle inscribed in a circle of radius 1, and let $M$ be any point on the circle. Prove that $M A^{2}+M B^{2}+M C^{2}=6$.

www.viitoriolimpici.ro",24e38cd1-86a8-5a1a-a734-b2e8dd1a44a7,Geometry,proof,olympiads,6
"## Problem B2

D lies inside the triangle $\mathrm{ABC} . \angle \mathrm{BAC}=50^{\circ} . \angle \mathrm{DAB}=10^{\circ}, \angle \mathrm{DCA}=30^{\circ}, \angle \mathrm{DBA}=20^{\circ}$. Show that $\angle$ $\mathrm{DBC}=60^{\circ}$.

",e97d7c94-bcee-5a28-a481-100073060b6d,Geometry,proof,olympiads,60
"3. In parallelogram $A B C D$, consider points $M$ and $P$, the midpoints of segments $[A B]$ and $[B C]$, respectively.

a) If point $E$ is the symmetric point of $D$ with respect to point $P$, show that points $A, B, E$ are collinear.

b) If the area of triangle BMP is $24 \mathrm{~cm}^{2}$, calculate the area of the quadrilateral with vertices at points A, C, D, P.

Vasile Chiș, Reșița",f8a7acb0-9bde-53b2-aa4a-148a1fd85c3e,Geometry,proof,olympiads,144
"XXXI - I - Problem 7

On a sphere of radius 1, 13 points are chosen. Prove that among these points, there are two whose distance is less than $ \frac{2\sqrt{3}}{3} $.",ef96e16a-af83-543b-b9a9-b274a7740de9,Geometry,proof,olympiads,\frac{2\sqrt{3}}{3}
"11. As shown in the figure, $M, P, Q$ are moving points on the ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ with foci $F_{1}$ and $F_{2}$, $B$ is one endpoint of the minor axis of the ellipse and satisfies $\left|\overrightarrow{B F_{1}}+\overrightarrow{B F_{2}}\right|=2 c$. If $\overrightarrow{M F_{1}}=\lambda_{1} \overrightarrow{F_{1} P}, \overrightarrow{M F_{2}}=\lambda_{2} \overrightarrow{F_{2} Q}$, determine whether $\lambda_{1}+\lambda_{2}$ is a constant. If it is, provide a proof; if not, explain the reason.",2afa4a9e-ce36-58f5-bd0b-3f3a6c943c25,Geometry,proof,olympiads,6
"Example 7 As shown in Figure 1.5.7, given that the area of quadrilateral $A B C D$ is equal to $1 ; H, G$ and $E, F$ are the $n$-division points (closer to the endpoints) of $A D$ and $B C$ respectively. Prove: The area of quadrilateral $E F G H$ is $\frac{n-2}{n}$. (A generalization of Example 4 in Chapter 4 of this book)",8759fcb3-a310-5528-a24f-ebacda4050ab,Geometry,proof,olympiads,\frac{n-2}{n}
"337. Prove that if the lengths of the bisectors of a triangle are less than 1, then its area is less than $\sqrt{3} / 3$.",bc9536ef-c108-5659-bcf9-354efbfd1275,Geometry,proof,olympiads,\frac{\sqrt{3}}{3}
"[ Evaluation + example

Find the smallest $n$ such that any convex 100-gon can be obtained as the intersection of $n$ triangles. Prove that for smaller $n$ this cannot be done with any convex 100-gon.

#",d080d6c5-07fd-57ec-9653-b5c4a976f762,Geometry,proof,olympiads,50
"12. In $\triangle A B C$, $\angle A B C=40^{\circ}, \angle A C B=30^{\circ}, P$ is a point on the bisector of $\angle A B C$ such that $\angle P C B=$ $10^{\circ}, B P$ intersects $A C$ at $M, C P$ intersects $A B$ at $N$. Prove that $P M=A N$. (Mathematics Teaching Problem 531)",f601e878-0f41-593b-823d-9b3ab8246b27,Geometry,proof,olympiads,PM=AN
"15. Through the height of a triangular pyramid with lateral faces as equilateral triangles, a plane is made, intersecting the planes of two lateral faces at three lines. These three lines form angles $\alpha, \beta, \gamma$ with the base. Prove that: $\cot ^{2} \alpha+\cot ^{2} \beta+\cot ^{2} \gamma \geqslant \frac{3}{4}$.",061b693c-0a23-53d1-86f1-76fcce7fee29,Geometry,proof,olympiads,\cot^{2}\alpha+\cot^{2}\beta+\cot^{2}\gamma\geqslant\frac{3}{4}
"Let $A B C$ be a triangle with $\angle A=120^{\circ}$. The bisector of $\angle A$ meets side $B C$ at $D$. Prove that

$$
\frac{1}{A D}=\frac{1}{A B}+\frac{1}{A C}
$$",cd7b6143-40b5-5530-b7ae-ce8dda253d84,Geometry,proof,olympiads,\frac{1}{AD}=\frac{1}{AB}+\frac{1}{AC}
"10. In $\triangle A B C$, it is known that $\overrightarrow{A B} \cdot \overrightarrow{A C}+2 \overrightarrow{B A} \cdot \overrightarrow{B C}=3 \overrightarrow{C A} \cdot \overrightarrow{C B}$.
(1) Denote the lengths of $B C, C A, A B$ as $a, b, c$ respectively, prove: $a^{2}+2 b^{2}=3 c^{2}$;
(2) Find the minimum value of $\cos C$.",aa32d45c-f5cd-5e75-a5f7-26d6e5868811,Geometry,proof,olympiads,\frac{\sqrt{2}}{3}
"4.44. A convex $n$-hedral angle cuts out a spherical $n$-gon on a sphere of radius $R$ with the center at the vertex of the angle. Prove that its area is equal to $R^{2}(\sigma - (n-2) \pi)$, where $\sigma$ is the sum of the dihedral angles.",0612bb11-edd7-50f2-a70b-79aeb8371284,Geometry,proof,olympiads,R^{2}(\sigma-(n-2)\pi)
"9.6. A paratrooper is somewhere in a forest of area $S$. The shape of the forest is unknown to him, but he knows that there are no clearings in the forest. Prove that he can get out of the forest by traveling a distance of no more than $2 \sqrt{\pi S}$ (it is assumed that the paratrooper can move along a path of a pre-determined shape).",5abaf008-9e57-5cb1-aad5-2a8f82c115e5,Geometry,proof,olympiads,2\sqrt{\piS}
"3-2. From point \(C\), tangents \(C A\) and \(C B\) are drawn to circle \(O\). From an arbitrary point \(N\) on the circle, perpendiculars \(N D, N E, N F\) are dropped to the lines \(A B, C A\), and \(C B\) respectively. Prove that \(N D\) is the mean proportional between \(N E\) and \(N F\).",0d5d9284-277d-5353-89fa-ca76b73b36db,Geometry,proof,olympiads,ND^{2}=NE\cdotNF
"11.3. On the hypotenuse $AB$ of a right triangle $ABC$, a square is constructed outward with center $O$. Prove that the ratio of the length $CO$ to the sum of the legs $AC + CB$ is a constant for all right triangles and find this ratio.",246d42e5-d4b2-5a4c-9da5-72918abb3647,Geometry,proof,olympiads,\frac{\sqrt{2}}{2}
"Example 2.6.1 In an acute triangle $\triangle ABC$, $AD$, $BE$, and $CF$ are the altitudes, and $H$ is the orthocenter. Let the sum of the circumradii of $\triangle ABC$, $\triangle HBC$, $\triangle HCA$, and $\triangle HAB$ be $m$, and the sum of the inradii be $n$. Prove that $m+n$ equals the perimeter of $\triangle ABC$.",9dceb069-1c04-5d5a-a6fd-27ffd469d7bc,Geometry,proof,olympiads,AB+BC+CA
"3. Given is $\triangle A B C$, whose orthocenter is $H$, and $M$ is the midpoint of side $B C$. For the foot of the perpendicular $N$ from $H$ to $A M$, it holds that $A N=3 M N$. Prove: $A M=B C$.",a11ff363-07ce-5231-9c29-d43ac35ceaa3,Geometry,proof,olympiads,AM=BC
"2. The diagram shows a pentagon $A B C D E$ in which all sides are equal in length and two adjacent interior angles are $90^{\circ}$. The point $X$ is the point of intersection of $A D$ and $B E$.
Prove that $D X=B X$.",239064c1-2c47-59c3-8e87-75d41dd2d76e,Geometry,proof,olympiads,DX=BX
"Example 3. 4. 5 In a cyclic convex quadrilateral $A B C D$, $\odot\left(O_{1}, R_{1}\right), \odot\left(O_{2}, R_{2}\right), \odot\left(O_{3}, R_{3}\right)$, $\odot\left(O_{4}, R_{4}\right)$ are the incircles of $\triangle A B D, \triangle B C A, \triangle C D B, \triangle D A C$ respectively. Let the points of tangency on $A B, B C, C D, D A$ be $E, F, M, N, G, H, P, Q$ respectively. Prove: (1) $E F=G H, M N=P Q$;
(2) $E F \cdot M N=R_{1} R_{3}+R_{2} R_{4}$",dcb3f045-ee14-5da9-a0f1-b42f08a59f08,Geometry,proof,olympiads,EF\cdotMN=R_{1}R_{3}+R_{2}R_{4}
"11.3. On the lateral edges $A D, B D$ and $C D$ of the tetrahedron $A B C D$, points $A_{1}, B_{1}, C_{1}$ are taken, respectively, such that the plane $A_{1} B_{1} C_{1}$ is parallel to the base $A B C$. Point $D_{1}$ lies in the base. Prove that the volume of the tetrahedron $A_{1} B_{1} C_{1} D_{1}$ does not exceed $\frac{4}{27} V$, where $V$ is the volume of the tetrahedron $A B C D$.",16ee01f5-9ac1-50cf-adc1-47befeb89a83,Geometry,proof,olympiads,\frac{4}{27}
"## Problem 1.

Let $ABC$ be a triangle and points $M, N, P$ such that $\overrightarrow{BM}=\overrightarrow{MC} ; \overrightarrow{AN}=2 \overrightarrow{NC} ; \overrightarrow{AP}=3 \overrightarrow{PB}$ and $Q$ is the midpoint of segment $(PM)$.

a) Show that $\overrightarrow{BN}=\frac{2}{3} \overrightarrow{BC}+\frac{1}{3} \overrightarrow{BA}$ and $\overrightarrow{BQ}=\frac{1}{4} \overrightarrow{BC}+\frac{1}{8} \overrightarrow{BA}$;

b) Prove that points $B, Q, N$ are collinear and calculate the value of the ratio $\frac{BQ}{QN}$.",4aa9e113-84f0-5dc8-b33c-2429815a8837,Geometry,proof,olympiads,\frac{BQ}{QN}=\frac{3}{5}
"$(1)$ Prove: $rC_n^r=nC_{n-1}^{r-1}$;$(2)$ Find the sum: $C_n^1+2C_n^2+3C_n^3+…+nC_n^n$;$(3)$ Prove: For a random variable $X\sim B\left(n,p\right)$, $E\left(X\right)=np$.",23a243ac-2e3c-5ed3-8b8f-46f3de8c4e2f,Combinatorics,proof,cn_k12,E(X) = np
"Let \\(P(n,m)= \sum\limits_{k=0}^{n}(-1)^{k}C_{ n }^{ k } \frac {m}{m+k}\\), and \\(Q(n,m)= C_{ n+m }^{ m }\\), where \\(m\\), \\(n \in N^{*}\\)  
\\((1)\\) When \\(m=1\\), find the value of \\(P(n,1) \cdot Q(n,1)\\);  
\\((2)\\) For \\(\forall m \in N^{*}\\), prove that \\(P(n,m) \cdot Q(n,m)\\) is always a constant.",373b7865-9939-5182-a8a4-3e076dc27a9d,Combinatorics,proof,cn_k12,1
"Given that L is a positive integer, the sequence A: a₁, a₂, …, aₙ contains items that are positive integers not greater than L. The value of cᵏ represents the number of k in a₁, a₂, …, aₙ (k=1, 2, …, L). The transformation T transforms the sequence A into the sequence T(A): t(a₁), t(a₂), …, t(aₙ), where t(k) = L • $\frac{c_1 + c_2 + … + c_k}{n}$.

(I) If L=4, find the values of cᵢ (1 ≤ i ≤ 4) for the sequence A: 1, 1, 2, 3, 3, 4.
(II) Prove that the necessary and sufficient condition for t(aᵢ) = aᵢ (i = 1, 2, …, n) is cᵢ = cᵦ (i, j = 1, 2, …, L), given that for any k (k = 1, 2, …, n), there exists an item aᵐ in A such that aᵐ = k.
(III) If l = n, prove that bᵢ = t(aᵢ) (i = 1, 2, …, n) for the sequence A: a₁, a₂, …, aₙ, where T(T(A)): b₁, b₂, …, bₙ.",78bb517a-e401-5607-896f-af28607b8005,Combinatorics,proof,cn_k12,b_i = t(a_i)
"A summer camp organized a trip for 1987 campers to visit the Forbidden City, Jingshan Park, and Beihai Park, with the rule that each person must visit one place and at most two places. Prove that there are at least 332 people who visited the exact same places.",32b3fb1f-321d-59d5-8c90-4bcd84fc5e43,Combinatorics,proof,cn_k12,332
"Use the method of contradiction to prove: When 9 balls are each painted either red or white, no matter how they are painted, there will be at least 5 balls of the same color. The assumption should be (　　)
A: There are at least 5 balls of the same color
B: There are at least 5 balls not of the same color
C: There are at most 4 balls of the same color
D: There are at least 4 balls not of the same color",20beb489-7cd4-5b0e-81ef-549d83de187e,Combinatorics,proof,cn_k12,\text{C}
"Using two methods to calculate a quantity once each, and constructing an equation from the identical results, is known as the ""calculate twice"" method. By utilizing this method, combined with the binomial theorem, many interesting combinatorial identities can be derived.

For example, consider the identity $(1+x)^{2n}=(1+x)^{n}(1+x)^{n}(n\in N^{*})$, the coefficient of $x^{n}$ on the left side is $C_{2n}^{n}$. On the right side, $(1+x)^{n}(1+x)^{n}=(C_{n}^{0}+C_{n}^{1}x+\ldots+C_{n}^{n}x^{n})(C_{n}^{0}+C_{n}^{1}x+\ldots+C_{n}^{n}x^{n})$,

the coefficient of $x^{n}$ is $C_{n}^{0}C_{n}^{n}+C_{n}^{1}C_{n}^{n-1}+\ldots+C_{n}^{n}C_{n}^{0}=(C_{n}^{0})^{2}+(C_{n}^{1})^{2}+\ldots+(C_{n}^{n})^{2}$, therefore, we can obtain the combinatorial identity $C_{2n}^{n}=(C_{n}^{0})^{2}+(C_{n}^{1})^{2}+\ldots+(C_{n}^{n})^{2}$.

$(1)$ Based on the identity $(1+x)^{m+n}=(1+x)^{m}(1+x)^{n}(m,n\in N^{*})$, where the coefficients of $x^{k}$ (where $k\in N$, $k\leqslant m$, $k\leqslant n$) are the same on both sides, directly write down an identity;

$(2)$ Use the ""calculate twice"" method or other methods to prove: $\sum_{k=0}^{\left\lbrack \frac{n}{2} \right\rbrack}C_{n}^{2k}\cdot2^{n-2k}\cdot C_{2k}^{k}=C_{2n}^{n}$, where $\left\lbrack \frac{n}{2} \right\rbrack$ denotes the largest integer not exceeding $\frac{n}{2}$.",7bbcc85d-fe91-5a82-9075-aa1237307289,Combinatorics,proof,cn_k12,\sum_{k=0}^{\left( \frac{n}{2}\right)}C_{n}^{2k}\cdot2^{n-2k}\cdot C_{2k}^{k}=C_{2n}^{n}
"A circular track is decorated with a number of red and yellow flags. It is known that there are a total of 46 color changes (a red flag next to a yellow flag or a yellow flag next to a red flag is considered one color change). Now, by swapping adjacent flags, if after several swaps the number of color changes is reduced to 26, demonstrate that during the swapping process, there must be a moment when the number of color changes is exactly 28.",189b71ff-aad8-5454-8794-8244b7a0ca54,Combinatorics,proof,cn_k12,28
"7.3 Toss a coin, each time heads appears you get 1 point, and tails appears you get 2 points. Prove that the probability of getting exactly $n$ points is $\frac{1}{3}\left[2+\left(-\frac{1}{2}\right)^{n}\right]$.",e9febb35-691a-58a9-91e7-5463edb0856d,Combinatorics,proof,olympiads,p_{n}=\frac{1}{3}[2+(-\frac{1}{2})^{n}]
"On the plane, there are $n$ points, and the midpoints of all segments with endpoints at these points are marked. Prove that the number of distinct marked points is at least $2 n-3$.

#",9883b3a7-7123-59b1-974f-ee222a3f0897,Combinatorics,proof,olympiads,2n-3
